,address/street,baths,beds,coordinates/latitude,coordinates/longitude,garage,id,listPrice,name,sqft,status,stories,type,units,year_built
0,809 S Aurora St,2.0,5.0,42.430851,-76.496069,0.0,4208852367,2625.0,,1300.0,for_rent,1.0,single_family,1.0,
1,419 Triphammer Rd,2.0,6.0,42.460409,-76.481516,4.0,4733433667,5000.0,,3200.0,for_rent,2.0,single_family,1.0,1956.0
2,517 S Aurora St,2.0,6.0,42.435014,-76.494344,0.0,4090421202,4350.0,,2457.0,for_rent,1.0,single_family,1.0,
3,3 Hudson Pl,1.0,2.0,42.430688,-76.493156,0.0,4199200488,1600.0,,900.0,for_rent,1.0,single_family,1.0,
4,600 Warren Rd Apt 4-2,1.5,1.5,42.477345,-76.467567,0.0,9934501911,,Warren Wood,894.0,for_rent,1.0,apartment,181.0,
5,114 Stewart Ave,3.0,7.0,42.4401,-76.489955,0.0,3898203471,850.0,,0.0,for_rent,1.0,single_family,1.0,
6,2250 N Triphammer Rd,1.0,1.0,42.47845,-76.48666,0.0,3702832655,1400.0,Brooklane,550.0,for_rent,1.0,apartment,26.0,
7,601 Winston Ct Apt 1,1.0,2.5,42.475689,-76.45789,0.0,3523590622,,Winston Square Apartments,1000.0,for_rent,1.0,apartment,108.0,
8,37 Uptown Rd Apt 16D,1.0,1.5,42.480465,-76.475517,0.0,9629301982,,Gaslight Village,925.0,for_rent,1.0,apartment,144.0,
9,918 Danby Rd,1.5,3.5,42.426423,-76.499661,0.0,3321251993,,"Ithaca Estates Realty, LLC",0.0,for_rent,1.0,apartment,2.0,
10,Ithaca Solar Townhouses,1.0,4.0,,,0.0,9442150501,,"Ithaca Estates Realty, LLC",1800.0,for_rent,1.0,apartment,8.0,
11,700 Warren Rd # 18-2,1.5,2.0,42.486946,-76.470795,0.0,9890806356,,North Wood Apartments,894.0,for_rent,1.0,apartment,271.0,
12,704 Triphammer Rd,3.0,4.0,42.462183,-76.483453,0.0,4700006116,3300.0,,1898.0,for_rent,1.0,single_family,1.0,
13,607 S Aurora St,2.5,3.5,42.434366,-76.494036,0.0,4092955286,,"MLR Property Management, LLC",1200.0,for_rent,1.0,other,15.0,
14,1601 E Shore Dr,3.0,4.0,42.50913,-76.508012,0.0,9613463690,3800.0,,2000.0,for_rent,1.0,single_family,1.0,
15,815 S Aurora St,1.0,1.5,42.430073,-76.49638,0.0,4904234484,,Live More Ithaca,858.0,for_rent,1.0,other,97.0,2023.0
16,220 Giles St,1.0,3.0,42.435254,-76.489183,0.0,4082595354,2500.0,,1600.0,for_rent,1.0,single_family,1.0,
17,320 Blackstone Ave,3.0,4.0,42.470508,-76.470348,0.0,3547694536,3200.0,,2100.0,for_rent,1.0,single_family,1.0,
18,648 Hudson Upstairs St Unit 648,1.0,3.0,42.43063,-76.492816,0.0,4072356572,2500.0,,0.0,for_rent,1.0,condos,1.0,
19,815 S Aurora St Unit A301,1.0,3.0,42.430042,-76.49662,0.0,9017823863,2050.0,,970.0,for_rent,1.0,condos,1.0,
20,815 S Aurora St Unit A307,1.0,3.0,42.430042,-76.49662,0.0,9476339580,900.0,,980.0,for_rent,1.0,condos,1.0,
21,815 S Aurora St Unit A01,1.0,3.0,42.430042,-76.49662,0.0,9390534105,2730.0,,970.0,for_rent,1.0,condos,1.0,
22,114 Birdseye View Dr,2.0,3.0,42.410846,-76.504331,0.0,3796286251,2075.0,,1620.0,for_rent,1.0,single_family,1.0,
23,43 Fiddlers Rdg,4.0,6.0,42.55152,-76.563698,0.0,3927732618,4000.0,,3542.0,for_rent,1.0,single_family,1.0,
24,202 Linden Ave Unit 303,1.0,4.0,42.439472,-76.484375,0.0,9777901913,900.0,,1010.0,for_rent,1.0,condos,1.0,
25,815 S Aurora St Unit A207,1.0,3.0,42.430042,-76.49662,0.0,9105502388,1000.0,,980.0,for_rent,1.0,condos,1.0,
26,217 Columbia St,3.0,4.5,42.435586,-76.493332,0.0,3110814062,,"MLR Property Management, LLC",0.0,for_rent,1.0,other,5.0,
27,126 College Ave Unit 401,2.0,6.0,42.438778,-76.485321,0.0,9708488612,1417.0,,1658.0,for_rent,1.0,condos,1.0,
28,218 Pleasant St,1.0,3.0,42.436819,-76.495883,0.0,3999492302,2040.0,,1400.0,for_rent,1.0,single_family,1.0,
29,135 Coddington Rd,1.0,3.0,42.429737,-76.494026,0.0,9974051488,2175.0,,1500.0,for_rent,1.0,single_family,1.0,
30,504 S Aurora St,1.0,4.0,42.435528,-76.494904,0.0,9522569919,3400.0,,1400.0,for_rent,1.0,single_family,1.0,
31,117 Prospect St,1.0,4.0,42.437156,-76.49576,0.0,3996771888,2640.0,,1300.0,for_rent,1.0,single_family,1.0,
32,708 E Seneca-3 708 Sen St E # 1-2,3.0,10.0,42.440922,-76.489113,0.0,9648829532,8550.0,,3000.0,for_rent,1.0,single_family,1.0,
33,2250 N Triphammer Rd Apt K2,1.5,2.0,42.478687,-76.487259,0.0,9604444238,,Lansing West Apartments,894.0,for_rent,1.0,apartment,180.0,
34,1 Candlewyck Dr,1.0,1.5,42.46021,-76.52717,0.0,3608593626,,Candlewyck Park,755.0,for_rent,1.0,apartment,77.0,
35,166 Bush Ln,3.0,4.0,42.497919,-76.479263,0.0,4240505674,2950.0,,1650.0,for_rent,1.0,single_family,1.0,
36,115 Prospect St # 1,1.0,3.0,42.437073,-76.495872,0.0,9267287577,2100.0,,0.0,for_rent,1.0,apartment,1.0,
37,402 Esty St,1.0,1.0,42.44352,-76.507092,0.0,3744705053,1550.0,,720.0,for_rent,1.0,single_family,1.0,
38,116 Ferris Pl Apt 3,1.0,3.0,42.438095,-76.489319,0.0,9190586965,2010.0,,0.0,for_rent,1.0,apartment,1.0,
39,207 Kevin Pl,1.0,3.0,,,0.0,9119603768,2400.0,,0.0,for_rent,1.0,apartment,1.0,
40,115 Prospect St # 2,1.0,3.0,42.437073,-76.495872,0.0,9624387043,2100.0,,0.0,for_rent,1.0,apartment,1.0,
